,people,going,country,president,that's,we're,right,think,american,would,america,trump,every,states,united,years,healthcare,donald,first,we've,world,change,americans,money,things,working,they're,something,believe,together,stage,climate,thing,million,talking,can't,companies,insurance,around,question,system,crosstalk,problem,senator,medicare,actually,economy,fight,let's,black
bernie sanders,251,97,137,59,48,53,87,80,86,33,60,66,45,30,37,46,91,21,18,8,47,43,24,32,13,41,16,13,42,40,2,30,12,56,24,9,48,42,14,32,45,28,6,5,49,1,17,8,25,10
michael bloomberg,30,25,11,12,21,12,13,19,1,14,7,12,9,7,4,15,0,10,7,19,6,2,0,10,10,3,9,13,2,2,0,1,9,3,4,16,0,1,2,3,3,5,9,14,0,1,0,0,4,6
pete buttigieg,112,99,79,130,53,75,90,68,84,51,24,47,31,23,24,35,21,29,37,59,29,32,29,7,39,15,13,36,18,13,21,33,42,7,23,23,5,6,42,15,8,23,22,28,24,54,16,13,22,26
elizabeth warren,217,132,84,59,79,64,62,77,29,25,93,38,82,37,36,28,54,36,32,40,27,33,36,60,24,35,27,20,26,16,30,24,22,28,16,42,28,37,21,26,20,19,37,15,16,17,19,61,27,21
tom steyer,92,96,27,26,52,73,38,22,53,23,35,34,30,27,27,30,8,10,15,15,28,17,24,12,8,12,11,24,9,23,34,33,14,9,19,11,12,1,13,29,2,5,12,24,0,25,30,5,11,15
joe biden,152,156,42,110,145,83,51,81,37,120,45,36,43,68,60,41,9,24,44,33,46,34,11,30,60,11,47,23,13,32,18,8,39,24,21,25,14,26,19,12,12,20,16,27,26,3,11,6,24,22
andrew yang,50,35,43,32,30,41,37,15,44,50,10,32,21,6,5,13,9,28,17,11,10,16,30,32,6,9,17,10,7,5,11,8,3,10,12,10,16,1,20,7,4,3,13,6,0,14,22,2,0,6
kamala harris,81,42,26,48,30,7,16,27,29,31,43,35,9,48,42,16,27,35,20,9,2,9,7,1,4,17,9,6,22,6,9,4,4,11,7,3,15,9,9,11,18,13,4,8,13,6,7,14,12,19
cory booker,83,48,55,56,34,25,44,11,31,6,29,22,21,31,33,11,10,24,29,7,5,10,20,1,14,5,12,7,12,17,23,8,7,1,13,9,7,3,6,4,15,3,17,2,3,15,5,22,2,10
beto o'rourke,38,29,66,24,17,27,22,18,11,23,22,12,18,12,10,10,13,10,10,7,10,4,11,2,2,10,9,5,6,9,6,5,4,6,7,2,1,5,5,4,9,13,3,5,13,2,5,1,8,1
bill de blasio,41,19,14,17,11,20,8,4,13,4,8,8,12,5,3,7,6,8,7,10,3,5,5,6,4,26,7,12,4,3,4,0,0,1,2,2,4,14,1,5,5,7,2,4,0,4,1,2,1,2
michael bennet,10,8,12,12,11,6,3,4,7,6,8,10,5,6,8,7,3,9,2,7,2,4,2,2,1,0,1,3,10,3,2,4,0,1,3,4,1,6,0,2,1,4,3,5,2,1,1,0,2,0
kirseten gillibrand,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
marianne williamson,23,22,5,4,8,15,1,9,8,8,5,13,2,6,6,3,6,10,4,2,3,1,5,2,3,0,2,4,4,1,3,0,3,1,6,1,4,2,0,0,6,4,3,4,0,0,6,5,0,0
